koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
FALSE POSITIVE,0,1,1,0,6.71969089,173.35776,0.985,3.0231,969.7,4.37,952,45.4,1,0.866
CONFIRMED,0,0,0,0,39.6431552,206.596798,0.062,6.5292,15664,10.98,472,690.3,1,0.9
CONFIRMED,0,0,0,0,21.80451611,190.49737,0.751,3.4097,1144.9,2.6,543,49.9,1,0.708
CONFIRMED,0,0,0,0,10.28194593,175.33988,0.168,3.4366,1110.7,2.53,680,55,2,0.775
CONFIRMED,0,0,0,0,18.11993039,182.61535,0.206,4.2309,1506.9,2.95,563,60.7,1,0.775
CONFIRMED,0,0,0,0,3.78402867,133.28133,0.691,1.9012,426.1,1.7,949,25.6,3,0.775
CONFIRMED,0,0,0,0,5.15448142,171.6389,0.933,3.228,697.5,2.94,964,48.1,1,0.884
FALSE POSITIVE,1,0,0,0,33.80364366,202.259731,0.023,11.4813,13494,20.7,745,529.9,1,1.796
CONFIRMED,0,0,0,0,5.743469797,174.898924,0.001,3.4412,1240.2,3.13,982,79.7,1,0.891
CANDIDATE,0,0,0,0,39.4759093,173.31207,0.938,2.968,1012.6,4.06,577,26.6,1,1.031
FALSE POSITIVE,0,1,0,0,19.97448524,171.6300909,0.886,4.23479,40293,26.56,700,1398.8,1,0.997
CONFIRMED,0,0,0,0,3.166353562,170.966145,0.032,3.3129,1473.4,3.82,1273,128.3,1,0.998
FALSE POSITIVE,0,1,0,0,23.89963441,188.982797,1.245,3.81881,20953,44.04,652,547.8,1,0.924
CONFIRMED,0,0,0,0,5.83909761,132.09261,0.341,3.1915,273.6,2.06,1097,25.2,2,1.25
CONFIRMED,0,0,0,0,1.620467654,132.06388,0.271,2.1888,159.6,1.57,1681,22.7,3,1.25
CONFIRMED,0,0,0,0,10.6816951,131.55082,0.646,3.605,307.8,2.3,897,21.9,4,1.25
CONFIRMED,0,0,0,0,6.104849417,169.573477,0.041,4.6912,2090.3,3.18,784,293.7,1,0.712
CONFIRMED,0,0,0,0,3.578780566,134.0304187,0.079,2.91089,11382,10.43,1145,1838.4,1,0.994
